date,open,high,low,close,adj close,volume
1/4/2016,79.550003,79.879997,78.370003,79.839996,69.855309,2918100
1/5/2016,79.849998,80.339996,78.830002,79.57,69.61908,2137800
1/6/2016,78.059998,78.290001,76.370003,76.919998,67.300468,3137700
1/7/2016,75.050003,75.959999,73.489998,73.790001,64.56192,3963300
1/8/2016,74.900002,75.419998,72.860001,73.050003,63.914471,3584600
1/11/2016,73.419998,73.830002,71.739998,72.889999,63.774471,2810100
1/12/2016,74.019997,74.169998,71.949997,73.120003,63.975723,2694200
1/13/2016,74.900002,75.669998,71.18,71.82,62.838295,5032200
1/14/2016,72.160004,73.059998,70.269997,72.07,63.057011,4165800
1/15/2016,69.18,70.480003,68.639999,70.169998,61.394627,4430400
1/19/2016,71.239998,71.550003,68.849998,69.290001,60.624687,3426100
1/20/2016,67.150002,68.220001,65.07,67.360001,58.936047,5075900
1/21/2016,67.75,69.349998,67.599998,68.129997,59.609737,3663000
1/22/2016,69.43,70.300003,69,69.870003,61.132137,3497200
1/25/2016,69.519997,70.120003,67.779999,67.879997,59.391014,2669300
1/26/2016,68.199997,69.75,68.120003,69.110001,60.467171,2439500
1/27/2016,69.089996,70.370003,67.910004,68.510002,59.942238,2771300
1/28/2016,69.459999,69.529999,67.919998,68.839996,60.230957,2383200
1/29/2016,69.050003,70.080002,68.360001,70.080002,61.315872,4239200
2/1/2016,69.339996,69.949997,68.339996,69.57,60.869663,3154900
2/2/2016,68.150002,68.150002,66.769997,67.230003,58.8223,3850100
2/3/2016,67.800003,67.849998,65.089996,66.790001,58.437332,4003900
2/4/2016,66.419998,67.769997,66.029999,66.980003,58.603565,3292800
2/5/2016,67.019997,67.809998,65,65.349998,57.177406,4615700
2/8/2016,64.809998,64.970001,62.52,63.330002,55.410034,3594700
2/9/2016,62.150002,64.129997,61.389999,63.59,55.637512,4453700
2/10/2016,64.760002,65.470001,63.77,64.059998,56.048733,5123900
2/11/2016,60.689999,60.84,57.189999,58,50.746593,8851000
2/12/2016,58.630001,62.48,58.540001,61.639999,53.931377,6467000
2/16/2016,62.66,63.860001,61.740002,63.439999,55.506271,4034600
2/17/2016,64.879997,67.190002,64.849998,66.599998,58.271076,5792800
2/18/2016,66.639999,66.919998,65.519997,66.139999,57.868614,3578100
2/19/2016,64.980003,65.440002,63.970001,65.360001,57.797871,3114800
2/22/2016,65.360001,66.830002,65.360001,66.080002,58.434563,2616500
2/23/2016,65.849998,66.089996,64.029999,64.589996,57.116962,3313700
2/24/2016,63.630001,64.849998,62.619999,64.709999,57.223072,3729000
2/25/2016,64.949997,66.099998,64.639999,66.07,58.425728,1959000
2/26/2016,66.830002,68.269997,66.559998,66.989998,59.239281,3145100
2/29/2016,66.650002,67.110001,65.989998,66.089996,58.443413,2920700
3/1/2016,67.199997,70.349998,67.040001,70.309998,62.175152,4489900
3/2/2016,70.230003,71.199997,69.910004,70.760002,62.57309,3166700
3/3/2016,70.389999,71.970001,70.370003,71.870003,63.554657,2646600
3/4/2016,72.239998,72.650002,70.800003,71.470001,63.200958,2550300
3/7/2016,70.800003,72.169998,70.68,72.129997,63.784588,2152600
3/8/2016,70.980003,71.489998,69.440002,70.309998,62.175152,2895400
3/9/2016,70.970001,71.269997,69.910004,70.410004,62.263596,2271800
3/10/2016,71.040001,72.050003,69.330002,70.559998,62.396236,3103500
3/11/2016,71.610001,73.699997,71.610001,73.550003,65.040291,2992100
3/14/2016,73.160004,73.620003,72.739998,73,64.553917,2836400
3/15/2016,72.199997,72.419998,71.360001,72.419998,64.041031,2322700
3/16/2016,72.360001,73.360001,71.760002,72.559998,64.164841,2271500
3/17/2016,72.57,73.910004,71.440002,73.360001,64.872284,2472600
3/18/2016,73.959999,75.419998,73.839996,74.940002,66.269478,3792700
3/21/2016,74.949997,75.57,74.050003,74.550003,65.924591,2171400
3/22/2016,73.309998,74.400002,73,74.120003,65.54435,2513100
3/23/2016,73.830002,74,72.589996,72.830002,64.403603,2065900
3/24/2016,70,70.779999,69.349998,70.760002,62.57309,6005500
3/28/2016,71.129997,72.330002,71.029999,72.010002,63.678482,3020100
3/29/2016,71.5,71.669998,70.330002,71.519997,63.245152,2563500
3/30/2016,72.260002,74.730003,71.860001,72.949997,64.50972,4186000
3/31/2016,72.849998,73.400002,71.870003,72.220001,63.864189,2552400
4/1/2016,71.519997,73.330002,70.809998,73.25,64.775002,2486000
4/4/2016,73.120003,73.279999,72.110001,72.279999,63.917225,1800900
4/5/2016,71.410004,71.82,70.870003,71.199997,62.962181,2147100
4/6/2016,71.330002,72.279999,71.059998,71.839996,63.528145,2485600
4/7/2016,70.980003,71.470001,69.32,70.010002,61.909866,2895800
4/8/2016,71.080002,71.32,69.769997,70.169998,62.05135,3568300
4/11/2016,70.889999,72.279999,70.839996,71.540001,63.262856,2115600
4/12/2016,71.980003,73.529999,71.739998,73.269997,64.792679,2467800
4/13/2016,74.199997,75.830002,74.199997,75.769997,67.003448,2553800
4/14/2016,75.57,76.589996,75.230003,76.290001,67.463287,1904200
4/15/2016,76.209999,76.339996,75.559998,76.010002,67.21566,1995600
4/18/2016,75.68,76.650002,75.360001,76.650002,67.781616,1864700
4/19/2016,76.989998,77.949997,76.809998,77.5,68.533287,1928700
4/20/2016,77.940002,79.099998,77.529999,78.889999,69.762466,2157500
4/21/2016,78.910004,79.449997,78.459999,78.589996,69.497169,1817100
4/22/2016,78.809998,79.970001,78.760002,79.580002,70.372643,1699200
4/25/2016,78.940002,79.360001,78.010002,78.849998,69.727074,1644300
4/26/2016,79.190002,79.739998,78.769997,79.709999,70.487572,1960500
4/27/2016,79.669998,80.449997,79.199997,79.650002,70.434532,2590900
4/28/2016,78.739998,79.120003,77.660004,77.940002,68.922356,2631900
4/29/2016,77.660004,78.129997,76.870003,77.639999,68.657082,2525000
5/2/2016,78.279999,78.800003,77.339996,78.669998,69.567909,1543200
5/3/2016,77.349998,77.519997,75.959999,77.470001,68.50676,2347300
5/4/2016,76.839996,77.080002,75.779999,76.269997,67.445587,4069200
5/5/2016,74.93,76.830002,74.93,75.830002,67.056496,2620900
5/6/2016,75.339996,76.360001,75.010002,76.050003,67.25106,2122100
5/9/2016,76.029999,76.309998,75.330002,75.629997,66.879639,1598100
5/10/2016,76.169998,77.470001,75.910004,77.160004,68.23262,2285600
5/11/2016,76.779999,77.540001,76.209999,76.209999,67.39254,1787600
5/12/2016,76.830002,77.129997,75.639999,76.43,67.58709,2050000
5/13/2016,76.169998,77.309998,75.220001,75.400002,66.676239,1941900
5/16/2016,75.660004,76.43,75.410004,75.949997,67.162598,1736500
5/17/2016,76.019997,76.860001,75.589996,75.910004,67.127243,1582800
5/18/2016,75.949997,79.32,75.739998,79.019997,69.877403,3668200
5/19/2016,78.699997,79.330002,77.110001,77.800003,68.798576,2743800
5/20/2016,77.790001,78.910004,77.470001,77.669998,69.307205,2383200
5/23/2016,77.269997,77.940002,76.779999,77.199997,68.887802,1507100
5/24/2016,78.059998,79.18,77.779999,78.720001,70.244148,1639700
5/25/2016,79.150002,80.489998,79.110001,79.690002,71.109718,1697600
5/26/2016,79.610001,79.809998,78.410004,78.470001,70.021065,2247200
5/27/2016,78.809998,79.540001,78.360001,79.540001,70.975845,1534200
5/31/2016,80,80,78.690002,79.25,70.717072,2515900
6/1/2016,78.089996,79.18,77.279999,78.82,70.333382,2209800
6/2/2016,78.730003,78.900002,78.309998,78.730003,70.253075,1994300
6/3/2016,77.190002,77.349998,75.290001,76.120003,67.924095,4225200
6/6/2016,76.5,77.720001,76.25,77.269997,68.950272,2131300
6/7/2016,77.550003,77.559998,76.800003,76.82,68.548721,1551800
6/8/2016,76.639999,77.300003,76.550003,76.809998,68.539787,1505400
6/9/2016,76.190002,76.25,74.889999,75.150002,67.058525,2716500
6/10/2016,74.25,74.349998,73.339996,73.540001,65.621887,2490400
6/13/2016,73.089996,73.940002,72.730003,73.120003,65.247108,2545900
6/14/2016,73,73.510002,71.400002,71.980003,64.229858,2141100
6/15/2016,72.410004,73.199997,71.690002,71.769997,64.04245,2981000
6/16/2016,70.849998,71.769997,70.040001,71.739998,64.015686,3689800
6/17/2016,71.760002,72.470001,71.480003,72.190002,64.417236,3344200
6/20/2016,73.629997,74.620003,73.160004,73.209999,65.327408,2812700
6/21/2016,73.830002,74.029999,72.980003,73.720001,65.782501,2209800
6/22/2016,73.949997,74.900002,73.870003,74.029999,66.059105,2180900
6/23/2016,75.379997,76.970001,75.300003,76.949997,68.664711,2905600
6/24/2016,71.779999,72.82,70.650002,70.910004,63.275063,6561600
6/27/2016,69.290001,69.529999,66.510002,66.93,59.723587,4343600
6/28/2016,69.019997,69.07,67.300003,68.699997,61.303013,3152900
6/29/2016,69.169998,70.150002,68.209999,70.139999,62.587963,4230100
6/30/2016,70.419998,71.339996,69.690002,71.339996,63.658745,2758900
7/1/2016,70.110001,71.849998,70.110001,71,63.355362,2097900
7/5/2016,69.709999,70.099998,68.059998,68.739998,61.338699,2633500
7/6/2016,68.129997,69.18,67.510002,69.139999,61.695629,2368300
7/7/2016,69.169998,70.470001,68.559998,69.040001,61.606392,2405900
7/8/2016,70.25,71.330002,70,70.989998,63.346443,2057600
7/11/2016,71.760002,72.269997,71.400002,71.809998,64.07814,2054800
7/12/2016,73,73.910004,72.879997,73.489998,65.577271,2639200
7/13/2016,73.290001,73.779999,72.260002,73.099998,65.229248,1678000
7/14/2016,74.900002,75.5,74.559998,75.019997,66.942528,2698000
7/15/2016,75.57,75.709999,74.709999,75.110001,67.022827,2104900
7/18/2016,74.879997,75.860001,74.540001,75.400002,67.281601,2086300
7/19/2016,74.779999,75.309998,74.540001,75.169998,67.076363,1541900
7/20/2016,75.610001,75.660004,74.82,75.540001,67.40654,1836800
7/21/2016,75.730003,75.93,75.120003,75.43,67.30838,1268000
7/22/2016,75.75,75.860001,75.129997,75.760002,67.602844,1183900
7/25/2016,75.519997,75.760002,75.059998,75.540001,67.40654,1366600
7/26/2016,75.440002,76,75.440002,75.889999,67.718849,1038000
7/27/2016,75.769997,76.169998,74.900002,75.419998,67.299454,1841100
7/28/2016,75.290001,75.940002,74.709999,75.769997,67.611778,1185700
7/29/2016,75.07,75.900002,75.010002,75.290001,67.183472,2558200
8/1/2016,75.589996,75.839996,74.559998,74.849998,66.790833,1993400
8/2/2016,74.900002,75.330002,73.199997,73.970001,66.005592,2657400
8/3/2016,74.290001,76.510002,74.25,76.150002,67.950867,2733200
8/4/2016,74.559998,75,72.25,72.839996,64.997246,4007400
8/5/2016,73.93,76.209999,73.93,76.029999,67.843773,3533800
8/8/2016,76.360001,77.459999,76.160004,77.300003,68.977043,3486200
8/9/2016,77.269997,77.650002,76.93,77.480003,69.137642,2411100
8/10/2016,77.459999,77.620003,76.07,76.18,67.977623,2777600
